"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
39,39,morphoPoly,Gemeinsam bauen ist keine Kunst,Gemeinsam bauen ist keine Kunst,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,Raum 010 (bei Cafeteria),,,,,Ausstellung in den zentralen Uni-Gebäuden,Zentrum Fokus Forschung,,"Ein zentraler Aspekt des PEEK-Projekts „morphoPoly“ ist das haptische, kollektive, multisensorische Bauen von Stadtmodellen mit gemischten Materialien. Im Projektraum, der zugleich als Ausstellungsraum und Installation dient, stellen wir großteils von Kindern zusammen mit dem Team gebaute Modelle vor und laden die Gäste ein, diese „Städte“ selbst weiterzubauen. Für die Arbeit im Kontext von Gamification und “Artistic Research” mit Kindern haben sich die Personen des Teams spezielle „Battle Names” zugelegt, die in Klammern erscheinen.
Partizipative Spezial-Bausessions + Lecture Performances zur monstro-symbiotischen Archi-Ökologie der kommenden, sich ständig wandelnden und auflösenden Stadt: 
28. Juni und 1. Juli jeweils von 14.00 bis 16.00 Uhr
VZA 7, EG: Raum 010 (bei Cafeteria)
 ","A central aspect of the PEEK project “morphoPoly” is the haptic, collective, multi-sensory building of city models with mixed materials. In the project room, which also serves as exhibition space and installation, we present models built for the most part by children together with the team and invite guests to continue building these “cities” themselves. For the work in the context of Gamification and ""Artistic Research"" with children, the team has adopted ""Battle Names"" that appear in brackets.
Participatory Special Building Sessions + Lecture Performances on the monstro-symbiotic archi-ecology of the coming, ever-changing and dissolving city: 
June 28 and July 1, both from 2 to 4 p.m.
VZA 7, ground floor: room 010 (near cafeteria)",,,,morphopoly.org,,,,,Beteiligte ,"Simone Carneiro (SIM), Natali Glisic (NAT), Olivia Jaques (JACK), David Kellner (KELL), Jan Lauth (JAM), Walter Roschnik (NIK), Robert Zanona (ROB), Katherina T. Zakravsky (ZAK) und Christopher Stefan",Contributers,"Simone Carneiro (SIM), Natali Glisic (NAT), Olivia Jaques (JACK), David Kellner (KELL), Jan Lauth (JAM), Walter Roschnik (NIK), Robert Zanona (ROB), Katherina T. Zakravsky (ZAK) and Christopher Stefan",,ACHTUNG AUSSTELLUNG NUR AN EINEM TAG
40,40,Channel Clayton,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,Atrium,,,,,Ausstellung in den zentralen Uni-Gebäuden,Kulturwissenschaften,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","Beim Channel Clayton können Besucher*innen mit Verfasser*innen von wissenschaftlichen Abschlussarbeiten des Instituts für Kunstwissenschaften, Kunstvermittlung und Kunstpädagogik zusammentreffen und mit ihnen in einem Gespräch über Thesen und Ergebnisse ihrer Arbeiten diskutieren. Auch neben dem diskursiven Event, das am Mittwoch, den 29. Juni 2022 von 15:00 – 17:00 Uhr stattfindet, stehen die Möbel von Channel Clayton den Festival-Besucher*innen im Atrium zur Verfügung und laden zum Verweilen, Diskutieren und Reflektieren ein.","At Channel Clayton, visitors can meet authors of academic theses from the Institute of Art Sciences and Art Education and have a conversation with them about their theses and the results of their work. In addition to the discursive event, which will take place on Wednesday, June 29, 2022 from 3 to 5 p.m., Channel Clayton furniture will be available to festival visitors in the atrium, inviting them to linger, discuss, and reflect.",,,,,,,,,,,,,Verfasser*innen wissenschaftlicher Abschlussarbeiten,
41,41,Modeklasse 2022 – Screening,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,Auditorium,,,,,Ausstellung in den zentralen Uni-Gebäuden,Mode,Institut für Design,"Screening des Kurzfilms, der im Rahmen der Show der Modeklasse in Wien am 2. Juni 2022 unter der Regie des renommierten Filmregisseurs Matt Lambert gedreht wurde.","Screening of the short film shot as part of the Fashion class graduate show in Vienna on the June 2, 2022, directed by acclaimed film director Matt Lambert. ",,,,,,,,,Beteiligte ,Studierende der Abteilung Mode,Contributers,Students of the Department of Fashion,"Fritz Haßler, Tina Lichtenstöger",
42,42,(un)safe spaces,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,SR 26 + SR 27,,,,,Ausstellung in den zentralen Uni-Gebäuden,Expanded Museum Studies,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","Zwei unterschiedlich gestaltete Räume machen auf die Vielzahl von Barrieren in Kultureinrichtungen aufmerksam. Während der erste Raum mit einer Vielfalt an Hürden, die von physischen Barrieren bis hin zu unverständlichen oder schwer lesbaren Texten reichen, überladen ist, bietet der Nachbarraum eine Pause von Reizüberflutungen aller Art. Abseits des Festivaltrubels laden bequeme Sitzgelegenheiten, gedämpftes Licht und eine wohltuende Atmosphäre zum Entspannen und Reflektieren ein.","Two differently designed rooms draw attention to the multitude of barriers in cultural institutions. While the first room is filled with a variety of hurdles ranging from physical barriers to incomprehensible or difficult-to-read texts, the neighboring space offers a break from sensory overload of all kinds. Away from the hustle and bustle of the festival, comfortable seating, dimmed lighting, and a soothing atmosphere invite you to rest and unwind.",,,,,,,,,Beteiligte ,"Pascale Maxime Ballieul, Katharina Enzinger, Charlotte Fuchs-Robetin, Ulrike Haidinger, Tamara Philomena Hauer, Lea Hölzgen, Ljubica Jakšić, Viktoria Weber, Felix Maria Wittwer ",Contributers,"Pascale Maxime Ballieul, Katharina Enzinger, Charlotte Fuchs-Robetin, Ulrike Haidinger, Tamara Philomena Hauer, Lea Hölzgen, Ljubica Jakšić, Viktoria Weber, Felix Maria Wittwer ",,
43,43,"I am your opus, I am your valuable, The pure gold baby",,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,SR 25,,,,,Ausstellung in den zentralen Uni-Gebäuden,Master Kunst- und Kulturwissenschaften,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","Erschienen in den Kollisionen der Kolonialeroberung, von Marx als Charakter der kapitalistischen Ware umgedeutet, in der Psychoanalyse als Substitution des Sexualobjekts erkundet: Der Fetisch ist ein zentraler Begriff des modernen Diskurses. Was ist ein Fetisch und was steht auf dem Spiel, den Fetisch zu denken? Durch eine Installation, die sich auf das Medium Film fokussiert, gehen wir diesen Fragen in Marxismus und Psychoanalyse nach. Die voyeuristische Kamera soll die Aufladung des Fetisch-Objekts sichtbar machen.","Appearing in the collisions of colonial conquest, reinterpreted by Marx as the nature of the capitalist commodity, explored in psychoanalysis as a substitution for the sexual object: the fetish is a key concept of modern discourse. What is a fetish, and what’s at stake in thinking about it? While making an installation focused on the medium of film, we explore these questions in Marxism and psychoanalysis. The idea is to let the voyeuristic camera reveal the fetish object as it’s being charged. ",,,,,,,,,Beteiligte ,"Fedra Benoli, Philipp Josel Haidegger, Melina Papoulia, Julia Reißner, Henry Salfner, Rebecca Stephanie Schmidt, Anna Schmitzberger, Lisa Vötter (im Rahmen des PGS „Der Fetisch"" von Antonia Birnbaum, Amanda Holmes)",Contributers,"Fedra Benoli, Philipp Josel Haidegger, Melina Papoulia, Julia Reißner, Henry Salfner, Rebecca Stephanie Schmidt, Anna Schmitzberger, Lisa Vötter (as part of the PGS ""The Fetish"" by Antonia Birnbaum, Amanda Holmes)",,Poly
44,44,.das traurige Ende einer Karriere,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,SR 24,,,,,Ausstellung in den zentralen Uni-Gebäuden,Sprachkunst,Institut für Sprachkunst,"Bei der Sprachkunst kommt alles zur Sprache: Jelineks Dornröschen als heransausende Drohung, schwurbelnde Chatgruppen unter Dauerbeschuss unserer Liebe, ein Libellenschwarm Chapbooks, schwirrend in den Bibliotheksvitrinen. PASS AUF, JENNY! Bewegte Worte, Solos und Ensembles für eine Politik der Sorge. DA IST NICHTS! Deine Wahrnehmung, unser öffentlicher Raum. Archivierte Stimmen, bis niemand mit dir spricht, außer dem Bot, der da summt. Doch die Sprachkunstabsolvent*innen kommen zur Sprache sowie die Erkenntnis, dass das Ende in keiner Weise ein Komplement zum Anfang ist. LASST UNS ANFANGEN!","In the language arts, everything gets discussed: Jelinek’s “Sleeping Beauty” is a threat hurtling toward us, chat groups speaking gibberish under the constant fire of our love, a dragonfly swarm of chapbooks buzzing in the library showcases. WATCH OUT, JENNY! Moving words, solos, and ensembles for a politics of alarm. THERE’S NOTHING THERE! Your perception, our public space. Voices archived until no one talks to you except that bot humming over there. But the language arts graduates have their word and come to the realization that the end in no way complements the beginning. LET’S BEGIN!",,,,,,,,,Beteiligte ,Studierende des Instituts für Sprachkunst,Contributers,Students of the Institute for Language Arts ,,
45,45,Kuratorisch forschen,Das /ecm Master Thesis Onlinearchiv,The /ecm Master Thesis Online Archive,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,SR 23,,,,,Ausstellung in den zentralen Uni-Gebäuden,/ecm – Masterlehrgang für Ausstellungstheorie & -praxis,Art and Cultural Sciences and Art Pedagogics,"Das /ecm Master Thesis Onlinearchiv ist eine digitale Plattform, die alle Abschlussarbeiten des /ecm-Lehrgangs versammelt und sichtbar macht. Es gibt Einblick in die Forschungsthemen der Absolvent*innen und stellt jede einzelne Arbeit in den Zusammenhang des Lehrgangs als Langzeitforschungskontext im Bereich Ausstellungstheorie und -praxis. Im Sinne eines kontinuierlichen, kollektiven Rechercheprozesses baut jeder Lehrgang auf den vorangegangenen auf. Dieser Wissensaustausch sowie Prozesse des Voneinanderlernens werden über die visuelle Darstellung und Ordnung der Masterthesen sichtbar.","The /ecm Master Thesis Online Archive is a digital platform that assembles the final theses of the /ecm study program and makes them visible and accessible. It provides insight into the graduates’ research topics and places each individual thesis in the overall context of the study program. As an ongoing, collective research process in the field of exhibition theory and practice, each course builds on the previous ones. This exchange of knowledge, as well as processes of learning from one other, becomes apparent through the visual representation and arrangement of the master theses.",,,,archiv.ecm.ac.at,,,,,Beteiligte ,"Kuratiert von Marie Artaker in Zusammenarbeit mit Miriam Bankier, Stephan Kuss und Claudia Mark
",Contributers,"Curated by Marie Artaker in collaboration with Miriam Bankier, Stephan Kuss and Claudia Mark",Absolvent*innen von /ecm,
46,46,ZUSTANDSGESTEUERT,Intelligibles Zeichnen – Zeichnen als Medium zur Ideenfindung,Intelligible Drawing - Drawing as a Medium for Finding Ideas,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,Gang und Nischen hinter Auditorium ,,,,,Ausstellung in den zentralen Uni-Gebäuden,Fotografie,Institut für Bildende und Mediale Kunst,"Zeichnung als Denkmechanismus. Jedes Objekt um mich herum scheint formgebend auf mich zu wirken. Der Raum diktiert meine Hand, über das Medium das ich pigmentiere. Unaufhörliche Komposition, bis ich mich vergesse. Ich bin nur noch ein ausführendes Element im diktierenden Raum. Eine Gesamtaufnahme entsteht. Eine neue Sprache entsteht. Alles beginnt im gleichen Maße zu existieren. Ich werde Bestandteil des Raums. Ich? Es gibt kein Ich mehr. Nur noch die bloße Existenz des Gesamten.  Die Zeichnung breitet sich langsam aus und vereinnahmt Körper, Raum und Material. Aus dem Nichts.","Drawing as a mechanism for thinking. Every object around seems to have a formative effect on me. The space dictates my hand, through the medium that I apply pigment to. Incessant composition until I forget myself. I'm just an executing element in a dictating space. An overall taking in occurs. A new language emerges. Everything begins to exist on the same scale. I become part of the room. I? There is no more I. Only the bare existence of the whole. The drawing slowly spreads out and appropriates body, space, and material. Out of nowhere.",,,,,,,,,Beteiligte ,"Intelligibles Zeichnen – Hannah Berki, Damyan Doumanov, Philipp Hölzgen, Paula Kreuzer, Johannes Linder, Florian Schwarz, Elisabeth Töltl; Betreuung: Brigitte Mahlknecht ",Contributers,"Intelligibles Zeichnen – Hannah Berki, Damyan Doumanov, Philipp Hölzgen, Paula Kreuzer, Johannes Linder, Florian Schwarz, Elisabeth Töltl; Supervision: Brigitte Mahlknecht",,
47,47,HERE WE ARE NOW,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,010,Atelier - Raum 102 + 103 + Gangflächen,,,,,Ausstellung in den zentralen Uni-Gebäuden,Grafik und Druckgrafik,Institut für Bildende und Mediale Kunst,"Jeder Tag zählt. Jeder Tag ist wertvoll. Morgen kann alles anders sein. Wir sind am Arbeiten. Wir suchen nach Formen, nach Möglichkeiten, unsere Ideen, Emotionen, Politik auszudrücken... wir wollen Kunst schaffen. Hier sind wir nun. Es gibt keine Alternative. Wir laden Sie ein, unsere Arbeit in dem Raum zu sehen, in dem sie stattfindet.","Every day counts. Every day is valuable. Everything might be different tomorrow. We are working. Searching for forms,  for ways to express our ideas, emotions, politics. . . we want to create art. Here we are now. There is no alternative. We invite you to come see our work in the space where it happens.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/s_Jju1nYP2M"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,,,,,,,Beteiligte ,Studierende der Abteilung Grafik und Druckgrafik ,Contributers,Students of the Department of Graphics and Printmaking,Sophie-Luise Passow,
48,48,HUNGRY GHOSTS,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,010 ,B 16 ,,,,,Ausstellung in den zentralen Uni-Gebäuden,Art & Science,Institut für Bildende und Mediale Kunst,"In der buddhistischen Kosmologie werden hungrige Geister mit großen, leeren Bäuchen dargestellt. Sie haben stecknadelkopfgroße Münder und ihre Hälse sind so dünn, dass sie nicht in der Lage sind, zu essen und zu schlucken, so dass sie hungrig bleiben. Sie werden mit Sucht, Besessenheit und Zwang in Verbindung gebracht. Hungrige Geister suchen ständig nach etwas außerhalb ihrer selbst, um ihre unstillbare Sehnsucht nach Erleichterung oder Erfüllung zu stillen. Das Buch meditiert über die Auswirkungen einer verletzten Beziehungsfähigkeit zu sich selbst und zur Welt und versucht, diesem mit einem Kaleidoskop von Memoiren entgegenzutreten.
(Artist Book und Installation, 2022)","In Buddhist cosmology, Hungry Ghosts are depicted with large, empty bellies. They have pinhole mouths and their necks are so thin that they are unable to eat and swallow, so they remain hungry. They are associated with addiction, obsession, and compulsion. Hungry Ghosts constantly seek something outside of themselves to still an insatiable yearning for relief or fulfilment. The book meditates on the implications of a wounded capacity to relate to oneself and to the world and aims to counteract that with a kaleidoscope of memoirs.
Artist’s book and installation, 2022",,,,,,,,,,,,,Marina Rebhandl,
49,49,"Café VoZo – was bleibt, von dem, was nicht geblieben ist",2nd floor – Ausstellungsreihe von TransArts,2nd floor - Exhibition Series by TransArts,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,020,Stiegenhaus,,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"Bevor die Universität für angewandte Kunst in die Vordere Zollamtsstraße 7 zog, befand sich dort von 2015 bis 2016 Wiens größte Unterkunft für Geflüchtete. In dieser Zeit wurde das Café VoZo von Geflüchteten, Studierenden und Ehrenamtlichen gebaut und betrieben und wurde schnell zum Dreh- und Angelpunkt des gesellschaftlichen Lebens in der Unterkunft.
Ich möchte Sie zu meiner konstruierten Erinnerung an einen Tag im Café VoZo einladen, wo Erinnerung ein Raum ist, den man nicht betreten kann, der jedoch durch den Türspalt sickert.","Before the University of Applied Arts moved to Vordere Zollamtstraße 7, Vienna’s largest refugee camp was located there from 2015 to 2016. During this time, Café VoZo was built and operated by refugees, students, and volunteers and quickly became the heart of the camp’s social life. 
I’d like to invite you to my constructed memory of a day in Café VoZo, where memory is a space that one can’t enter, but that seeps through the crack in the door. The smell of coffee and cake. Snippets of conversation. Music. Sounds of the Café VoZo.",,,,,,,,,Beteiligte ,Julia Schmidt (TransArts),Contributers,Julia Schmidt (TransArts),,
50,50,Produktive Unterbrechung (I),Abschlussarbeiten und Open Studio der Abteilung TransArts ,Graduation projects and Open Studio of the Department of TransArts ,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,020,"Raum 201, 202, 203, 204 + Brücke + Wandflächen + EG, Atrium + weitere Räume OKP",,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"Die ästhetische Praxis wird im Kontext der Ausstellung ""Produktive Unterbrechung"" als Wissensform verstanden, welche die Realität nicht nur beschreibt und/oder visualisiert, sondern sie auch formt. Es geht um das permanente Abwägen von inhaltlichen Frage- und Problemstellungen, um das Einerseits und das Andererseits; [...] es geht um Widerspruch, um den Gegensatz zwischen bestimmten Manifestationsformen und den dahinterliegenden Systemen – und es geht nicht zuletzt um eine produktive Unterbrechung all dessen. 


","In the exhibition “Productive Interruption,” aesthetic practice is regarded as a form of knowledge that not only describes and/or visualizes reality, but also shapes it. It’s about an ongoing process of weighing thematic questions and problems, of a simultaneity of possibilities; [. . .] it’s about contradiction and the contrast between particular forms of manifestation and the systems underlying them—and ultimately, a productive interruption of it all. ",,,,,,,,,Beteiligte ,Studierende der Abteilung TransArts,Contributers,Students of the Department of TransArts,"Christina Grüll, Alexey Koksharov, Marlene Lahmer, Luka Savić, Ramiro Wong",
51,51,TransArts – Hart am Werk,Arbeiten mit Buntmetall,Working with non-ferrous metal,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,020,Raum 206 (Metallwerkstätte),,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"Die Werkschau zeigt Arbeiten, die im Rahmen der Lehrveranstaltung von Judith Fegerl in den letzten Jahren entstanden sind. Das Arbeiten mit Buntmetallen erfordert, das Material zu erforschen und zu begreifen, sich auf Technik und Maßstab einzulassen, alles herauszufordern. Die konzeptorientierte Herangehensweise unterstützt Studierende, ihre eigenen Projektideen umzusetzen. So bereichern die individuellen Ideen die Zusammenarbeit und definieren die Parameter der Lehrveranstaltung jedes Semester aufs Neue.","The exhibition shows works created in the course by Judith Fegerl over the past several years. Working with non-ferrous metals requires exploring and understanding the material, engaging with technique and scale, and challenging things. The concept-oriented approach supports students as they put their project ideas to practice. In this way, the individual concepts foster cooperation and redefine the parameters of the course each semester. ",,,,,,,,,Beteiligte ,"Tina Grüll, Alexey Koksharov, Marlene Lahmer, Luka Savić, Ramiro Wong und Studierende von TransArts",Contributers,"Tina Grüll, Alexey Koksharov, Marlene Lahmer, Luka Savić, Ramiro Wong and students of TransArts",,
52,52,surface cracks,beyond beauty,beyond beauty,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,020,Gangbereich TransArts,,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"Die Serie ""surface cracks"" zeigt Videoarbeiten, die sich mit der Thematik des „Darunterliegenden“ beschäftigen. Es handelt sich um Randerscheinungen, die durch ihre Extraktion und mediale Verstärkung in den Fokus der Betrachter*innen rücken. Dabei werden Naturereignisse wie Wellen, künstliche Zustände wie Architektur oder auch visuelle Artefakte aus einem Bürodrucker Protagonisten einer experimentellen Erzählung. Die Videos wurden kuratiert und zusammengestellt von Christoph Höschele im Rahmen der Lehrveranstaltung ""Crossover Video"".","The series “surface cracks” presents video works that explore the topic of what’s “beneath.” These are the fringe phenomena that enter the viewer’s purview after being uncovered and reinforced in the media. Natural phenomena such as waves, artificial situations including architecture, and visual artefacts from an office printer become protagonists in an experimental narrative. The videos were curated and put together by Christoph Höschele as part of the “Crossover Video” course.",,,,,,,,,Beteiligte ,"Studierende des Seminars „Crossover Video""",Contributers,"Students of the Seminar ""Crossover Video""",,
53,53,Make Matter Make Sense: Inside Out / Outside In,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,020,B 15 ,,,,,Ausstellung in den zentralen Uni-Gebäuden,Art & Science,Institut für Bildende und Mediale Kunst,"Longing. Intimacy. Compassion. Home. Becoming.
Diving down into where no one has been before. Nanoscopic landscapes. Wander. Wonder. New sensations replacing the absent ones. The magic of what is real.
Science as experience. Experience as art. Art at the periphery of knowledge. Knowledge altering the experience. A laboratory of your life. Plenty of emotion at the bottom.
Magnify. Focus. Breathe. Love the atoms. Praise the electrons. Hug the machine. Go up and down, round and round. Make matter. Make sense. Turn it inside out, outside in. 
(Mixed-media installation, 2022)","Longing. Intimacy. Compassion. Home. Becoming. 
Diving down to where no one has been before. Nanoscopic landscapes. Wander. Wonder. New sensations replacing absent ones. The magic of what is real. 
Science as experience. Experience as art. Art at the periphery of knowledge. Knowledge altering the experience. A laboratory of your life. Plenty of emotion at the bottom. 
Magnify. Focus. Breathe. Love the atoms. Praise the electrons. Hug the machine. Go up and down, round and round. Make matter. Make sense. Turn it inside out, outside in.",,,,,,,,,,,,,İstem Özen ,
54,54,Diplomausstellung Ortsbezogene Kunst,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,020,FLUX 2,,,,,Ausstellung in den zentralen Uni-Gebäuden,Ortsbezogene Kunst,Institut für Bildende und Mediale Kunst,Die Ausstellung versammelt Arbeiten von drei Absolvent*innen der Abteilung Ortsbezogene Kunst. Andreas Budaks Plastik „Case 9“ ist das Ergebnis des aufwendigen Extraktionsprozesses von einem Gramm Eisen aus 60 Packungen Frühstückscerealien und macht fragwürdige Methoden der Lebensmittelindustrie sichtbar. Mit der Installation „The Cherry Blossoms“ gibt Pooneh Mojtaba der Erfahrung von Verlust eine poetische Form. Raphael Reichls filmische Montage „Auf sandigen Eierschalen laufen“ reflektiert die Parallelität konträrer Arbeitswelten in Mexiko und deren Verbindung zur globalisierten Welt.,"The exhibition brings together works by three graduates of the department of Site-Specific Art. Andreas Budak’s sculpture “Case 9” is the product of a laborious process of extracting one gram of iron from 60 packages of breakfast cereals, thereby rendering dubious food industry methods visible. In the installation “The Cherry Blossoms,” Pooneh Mojtaba gives poetic form to the experience of loss. Raphael Reichl’s film montage “Walking on Sandy Eggshells” reflects on the parallelism of contrasting working environments in Mexico and their connection to the globalized world.",,,,,,,,,,,,,"Andreas Budak , Pooneh Mojtaba, Raphael Reichl",
55,55,der längste Tag. Wintergoldkehlchen brütet,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,030,B 14,,,,,Ausstellung in den zentralen Uni-Gebäuden,Fotografie,Institut für Bildende und Mediale Kunst,"Die Diplomausstellung beschäftigt sich mit dem Bildprinzip der Unschärfe als Wiedergabe von Erinnertem. Erinnerungen werden zu inneren Bildern. Vergeht Zeit, wird es immer schwieriger, Ereignisse und Erlebtes einem bestimmten Zeitpunkt zuzuordnen. Alles verschwimmt. Über den Aufnahmen liegt ein Raster und ein Transparentpapier, das jedes Bild in Quadrate unterteilt. Das Raster verweist auf die Mattscheibe einer Mittelformatkamera. Die Bilder bleiben unscharf abgebildet, so wie Vergangenes unklar erscheint, und können nur noch assoziativ wahrgenommen werden.","The diploma exhibition addresses the pictorial principle of blurring to visualize memory. Recollections become inner images. As time goes by, it becomes increasingly difficult to assign a specific point in time to events and experiences. Everything is a blur. A grid and tracing paper overlay the images, dividing each one into squares. The grid corresponds to the screen of a medium-format camera. The images are blurred, just as the past seems unclear and can only be accessed by way of association.",,,,,,,,,,,,,Verena Gotthardt,
56,56,Crossing Points,"Beyond Disciplinary Spectrums
BA Finalist Exhibition","Beyond Disciplinary Spectrums
BA Finalist Exhibition","2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,030,FLUX 1,,,,,Ausstellung in den zentralen Uni-Gebäuden,"Cross-Disciplinary Strategies – Applied Studies in Art, Science, Philosophy, and Global Challenges",Institut für Kunst und Gesellschaft,"„Crossing Points“ lädt die Besucher*innen ein, die Bandbreite an Fachdisziplinen zu entdecken, die dieser gemeinsame Raum zu bieten hat. Präsentiert werden die vielfältigen Abschluss- und Semesterarbeiten der Studierenden von Cross-Disciplinary Strategies. Im Mittelpunkt dieser Sammlung steht der Versuch, die Verbindungen zwischen den einzelnen Themen herauszuarbeiten. Von Nachhaltigkeit und Biopolitik über Gedächtnis und die Bewegung von Körpern bis hin zur Anwendung von Recht und digitalen Kommunikationstechnologien – die Grenzen zwischen den Disziplinen verschwimmen und eröffnen so neue Räume jenseits der Theorie.","“Crossing Points” invites visitors to discover the range of disciplines this shared space has to offer and presents the highly diverse final and term works by students of Cross-Disciplinary Strategies, exploring the connections between individual themes. From sustainability and biopolitics to memory and the movement of bodies, to the application of law and digital communication technologies: blurring the boundaries between disciplines opens them up to new spaces beyond theory.",,,,,,,,,,,,,"Milou Gabriel, Samire Gurgurovci, Theresa Hajek, Kevin Jagschitz, Johanna Lindner, Matthäus Mayr, Leon Okoth Otieno, Salma Shaka, Johanna Christina Teufel, Lisa-Marie Weidl",
57,57,Resource–Outsource-Desource,Social Design Masterthesen I,Social Design Master Projects l,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,040 ,"Studio, B11, B12, B13, PSK Kassenhalle",,,,,Ausstellung in den zentralen Uni-Gebäuden,Social Design,Institut für Kunst und Gesellschaft,"Während der letzten beiden Jahre sehnten sich Stadtbewohner*innen nach Freiräumen, um sich zu bewegen und bewegt zu werden. Die Wahrnehmung offener bzw. öffentlicher Räume in dichten städtischen Gebieten hat sich mit eingeschränkten Möglichkeiten des Konsums grundlegend verändert. Urbane Qualitäten entwickeln sich jedoch genauso anhand immaterieller Qualitäten, die sich durch andere Menschen, Pflanzen, Tiere, sinnliche Erfahrungen, Erzählungen, unsichtbare Systeme, Routinen und Rituale, Rhythmen, Ankerpunkte, durch Geschichte(n) und durch Aussichten auf eine vorstellbare Zukunft vermitteln. ","Over the past two years, city dwellers have yearned for open spaces to move and be moved. Due to limited opportunities, the perception of open public spaces in dense urban areas has changed fundamentally. Yet urban qualities don’t merely evolve around possibilities to eat, drink, and shop, but through intangible qualities transmitted by other people, plants, animals, sensory experiences, narratives, invisible systems, routines and rituals, rhythms, anchor points, history(s), and, of course, prospects for a conceivable future. ",,,,,,,,,Beteiligte ,Social Design Studio,Contributers,Social Design Studio,"Leah Dorner & Maria Kanzler & Stella Krausz & Lena Michalik, Evgeniia Kozlova, Jelena Maschke, Amanda Sperger, Michalina Zadykowicz & Sabrina Haas ",
